val_n_samples,val_prevalence,val_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_confusion_matrix,val_dataset,test_n_samples,test_prevalence,test_accuracy,test_precision,test_recall,test_roc_auc,test_pr_auc,test_confusion_matrix,random_seed,post_treatment_features,observation_period_day,model,compute_time
3685,0.18236092265943013,0.823337856173677,0.5432098765432098,0.19642857142857142,0.7983164224866846,0.4428854372965375,"[[2902  111]
 [ 540  132]]",validation,3685,0.18263229308005427,0.8333785617367707,0.6130268199233716,0.237741456166419,0.7867386323946415,0.46284574020380626,"[[2911  101]
 [ 513  160]]",0,False,1,HGB,11.678144
3685,0.18236092265943013,0.8265943012211668,0.5642023346303502,0.21577380952380953,0.8013686722614701,0.45971153499870593,"[[2901  112]
 [ 527  145]]",validation,3685,0.18263229308005427,0.8341926729986432,0.6123188405797102,0.2511144130757801,0.7937220903409641,0.4672846915779916,"[[2905  107]
 [ 504  169]]",1,False,1,HGB,3.569278
3685,0.18236092265943013,0.8276797829036635,0.5742971887550201,0.21279761904761904,0.7845810515543754,0.4392248557233209,"[[2907  106]
 [ 529  143]]",validation,3685,0.18263229308005427,0.8341926729986432,0.62109375,0.2362555720653789,0.789595210046392,0.46060746497448224,"[[2915   97]
 [ 514  159]]",2,False,1,HGB,1.64774
3685,0.18236092265943013,0.824966078697422,0.5685279187817259,0.16666666666666666,0.7885845364531475,0.4445827612434717,"[[2928   85]
 [ 560  112]]",validation,3685,0.18263229308005427,0.8301221166892808,0.6044444444444445,0.20208023774145617,0.7859315585602118,0.45791617158145465,"[[2923   89]
 [ 537  136]]",3,False,1,HGB,1.978836
3685,0.18236092265943013,0.8312075983717775,0.6201923076923077,0.19196428571428573,0.7898577888672893,0.46116794550600637,"[[2934   79]
 [ 543  129]]",validation,3685,0.18263229308005427,0.8298507462686567,0.592,0.2199108469539376,0.7857080839593582,0.4561839595862596,"[[2910  102]
 [ 525  148]]",4,False,1,HGB,3.80558
3685,0.18236092265943013,0.832293080054274,0.6194690265486725,0.20833333333333334,0.7929542419357387,0.4678604776766485,"[[2927   86]
 [ 532  140]]",validation,3685,0.18263229308005427,0.8350067842605156,0.6371308016877637,0.22436849925705796,0.7902634139025867,0.47351931021860505,"[[2926   86]
 [ 522  151]]",5,False,1,HGB,2.457304
3685,0.18236092265943013,0.8246947082767978,0.549618320610687,0.21428571428571427,0.7764009727687956,0.44521618395760654,"[[2895  118]
 [ 528  144]]",validation,3685,0.18263229308005427,0.8347354138398915,0.6194029850746269,0.24665676077265974,0.7893709954634163,0.4688027581946396,"[[2910  102]
 [ 507  166]]",6,False,1,HGB,1.916283
3685,0.18236092265943013,0.8274084124830393,0.5756302521008403,0.20386904761904762,0.7880370576707285,0.4500570522681675,"[[2912  101]
 [ 535  137]]",validation,3685,0.18263229308005427,0.83202170963365,0.6173913043478261,0.21099554234769688,0.7921025161365434,0.4644702293646917,"[[2924   88]
 [ 531  142]]",7,False,1,HGB,4.096803
3685,0.18236092265943013,0.8279511533242877,0.5833333333333334,0.19791666666666666,0.7922188374188043,0.45517592115694816,"[[2918   95]
 [ 539  133]]",validation,3685,0.18263229308005427,0.83202170963365,0.6088709677419355,0.22436849925705796,0.7885436954509845,0.4635209349854625,"[[2915   97]
 [ 522  151]]",8,False,1,HGB,2.167247
3685,0.18236092265943013,0.8252374491180461,0.5507246376811594,0.2261904761904762,0.7815594230556479,0.4381339736666605,"[[2889  124]
 [ 520  152]]",validation,3685,0.18263229308005427,0.83202170963365,0.5964285714285714,0.24814264487369986,0.7882067569247528,0.4696658003362529,"[[2899  113]
 [ 506  167]]",9,False,1,HGB,3.687851
