val_n_samples,val_prevalence,val_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_confusion_matrix,val_dataset,test_n_samples,test_prevalence,test_accuracy,test_precision,test_recall,test_roc_auc,test_pr_auc,test_confusion_matrix,random_seed,observation_period_day,model,compute_time
3685,0.18236092265943013,0.8401628222523745,0.6680161943319838,0.24553571428571427,0.8001853081093042,0.5122386607328818,"[[2931   82]
 [ 507  165]]",validation,3685,0.18263229308005427,0.8206241519674355,0.5204081632653061,0.22734026745913818,0.7568611142354802,0.4082152358515647,"[[2871  141]
 [ 520  153]]",0,1,HGB,3.712913
3685,0.18236092265943013,0.8415196743554952,0.671875,0.25595238095238093,0.8058378968912491,0.5222215891376459,"[[2929   84]
 [ 500  172]]",validation,3685,0.18263229308005427,0.8192672998643148,0.5116279069767442,0.2288261515601783,0.7502249545650976,0.40854446189081306,"[[2865  147]
 [ 519  154]]",1,1,HGB,2.905144
3685,0.18236092265943013,0.832293080054274,0.6088709677419355,0.22470238095238096,0.7899474301834907,0.4905508308143078,"[[2916   97]
 [ 521  151]]",validation,3685,0.18263229308005427,0.8149253731343283,0.4868035190615836,0.24665676077265974,0.7565061694776121,0.4124232062616767,"[[2837  175]
 [ 507  166]]",2,1,HGB,2.302252
3685,0.18236092265943013,0.8404341926729987,0.6721311475409836,0.24404761904761904,0.8008505800262357,0.5176642594721688,"[[2933   80]
 [ 508  164]]",validation,3685,0.18263229308005427,0.8170963364993216,0.49834983498349833,0.22436849925705796,0.7533999711900294,0.40607949038103536,"[[2860  152]
 [ 522  151]]",3,1,HGB,1.933764
3685,0.18236092265943013,0.8333785617367707,0.6169354838709677,0.22767857142857142,0.7933987443301249,0.48949616720158556,"[[2918   95]
 [ 519  153]]",validation,3685,0.18263229308005427,0.8189959294436906,0.5103448275862069,0.2199108469539376,0.7448146986102151,0.3944719778917934,"[[2870  142]
 [ 525  148]]",4,1,HGB,1.600376
3685,0.18236092265943013,0.8407055630936228,0.6706827309236948,0.24851190476190477,0.8030721042150679,0.5230606712681547,"[[2931   82]
 [ 505  167]]",validation,3685,0.18263229308005427,0.8198100407055631,0.5137614678899083,0.24962852897473997,0.7503053659556919,0.41688042505422473,"[[2853  159]
 [ 505  168]]",5,1,HGB,1.704872
3685,0.18236092265943013,0.8328358208955224,0.6068702290076335,0.23660714285714285,0.7861143378692332,0.4797871384266031,"[[2910  103]
 [ 513  159]]",validation,3685,0.18263229308005427,0.8154681139755766,0.4891640866873065,0.23476968796433878,0.7355052301936386,0.3957356682644629,"[[2847  165]
 [ 515  158]]",6,1,HGB,1.837243
3685,0.18236092265943013,0.8325644504748982,0.6070038910505836,0.23214285714285715,0.7878883963143837,0.48203637649943787,"[[2912  101]
 [ 516  156]]",validation,3685,0.18263229308005427,0.8149253731343283,0.4864864864864865,0.24071322436849926,0.736867290619592,0.38645266866903244,"[[2841  171]
 [ 511  162]]",7,1,HGB,1.86187
3685,0.18236092265943013,0.8344640434192673,0.6371681415929203,0.21428571428571427,0.7954493820428934,0.4957841419055099,"[[2931   82]
 [ 528  144]]",validation,3685,0.18263229308005427,0.8225237449118046,0.5297805642633229,0.2511144130757801,0.7549164412187801,0.4092078899835144,"[[2862  150]
 [ 504  169]]",8,1,HGB,1.934152
3685,0.18236092265943013,0.835820895522388,0.6293436293436293,0.2425595238095238,0.7938758435667663,0.49145434695770607,"[[2917   96]
 [ 509  163]]",validation,3685,0.18263229308005427,0.8208955223880597,0.5202492211838006,0.24814264487369986,0.7516023079549066,0.4127648306308798,"[[2858  154]
 [ 506  167]]",9,1,HGB,2.427423
